"","NSRNAME","DEP_ecosite","nPOLY","DEP_Area","DEP_Area_perc","DEPordNum","Classification","Upland","Color","DEPord"
"105","Athabasca Plain",29,2647,2575.28715187721,5.4,29,"Rich-Hygric Poplar",0,"#00C89E","29_Rich-Hygric Poplar"
"106","Central Mixedwood",29,7979,7904.34137862379,1.8,29,"Rich-Hygric Poplar",0,"#00C89E","29_Rich-Hygric Poplar"
"107","Kazan Uplands",29,1,0,0,29,"Rich-Hygric Poplar",0,"#00C89E","29_Rich-Hygric Poplar"
"108","Lower Boreal Highlands",29,66,63.9104751944542,4.1,29,"Rich-Hygric Poplar",0,"#00C89E","29_Rich-Hygric Poplar"
"109","Athabasca Plain",31,5401,5338.65134141989,11.3,31,"Rich-Hygric Spruce",0,"#0E995F","31_Rich-Hygric Spruce"
"110","Central Mixedwood",31,2923,2893.15295118099,0.7,31,"Rich-Hygric Spruce",0,"#0E995F","31_Rich-Hygric Spruce"
"111","Kazan Uplands",31,1,0,0,31,"Rich-Hygric Spruce",0,"#0E995F","31_Rich-Hygric Spruce"
"112","Lower Boreal Highlands",31,42,38.2474426310509,2.5,31,"Rich-Hygric Spruce",0,"#0E995F","31_Rich-Hygric Spruce"
"113","Athabasca Plain",32,1,0,0,32,"Rich-Hydric Grass Fen",0,"#9FFFD7","32_Rich-Hydric Grass Fen"
"114","Central Mixedwood",32,15,15,0,32,"Rich-Hydric Grass Fen",0,"#9FFFD7","32_Rich-Hydric Grass Fen"
"115","Kazan Uplands",32,1,0,0,32,"Rich-Hydric Grass Fen",0,"#9FFFD7","32_Rich-Hydric Grass Fen"
"116","Lower Boreal Highlands",32,1,0,0,32,"Rich-Hydric Grass Fen",0,"#9FFFD7","32_Rich-Hydric Grass Fen"
"117","Athabasca Plain",33,114,101.927111403085,0.2,33,"Rich-Hydric Shrub Fen",0,"#2DFFA7","33_Rich-Hydric Shrub Fen"
"118","Central Mixedwood",33,1111,1091.79630292431,0.2,33,"Rich-Hydric Shrub Fen",0,"#2DFFA7","33_Rich-Hydric Shrub Fen"
"119","Kazan Uplands",33,3,0.48713194206357,0.6,33,"Rich-Hydric Shrub Fen",0,"#2DFFA7","33_Rich-Hydric Shrub Fen"
"120","Lower Boreal Highlands",33,1,0,0,33,"Rich-Hydric Shrub Fen",0,"#2DFFA7","33_Rich-Hydric Shrub Fen"
"121","Athabasca Plain",34,569,540.589487671154,1.1,34,"Rich-Hydric Black Spruce",0,"#0C5437","34_Rich-Hydric Black Spruce"
"122","Central Mixedwood",34,22586,22463.0744472109,5.1,34,"Rich-Hydric Black Spruce",0,"#0C5437","34_Rich-Hydric Black Spruce"
"123","Kazan Uplands",34,13,8.1248278003186,10.5,34,"Rich-Hydric Black Spruce",0,"#0C5437","34_Rich-Hydric Black Spruce"
"124","Lower Boreal Highlands",34,1,0,0,34,"Rich-Hydric Black Spruce",0,"#0C5437","34_Rich-Hydric Black Spruce"
"125","Athabasca Plain",35,347,343.706751137972,0.7,35,"Shrub Swamp",0,"#ADFFE7","35_Shrub Swamp"
"126","Central Mixedwood",35,1238,1228.14886075258,0.3,35,"Shrub Swamp",0,"#ADFFE7","35_Shrub Swamp"
"127","Kazan Uplands",35,1,0,0,35,"Shrub Swamp",0,"#ADFFE7","35_Shrub Swamp"
"128","Lower Boreal Highlands",35,1,1,0.1,35,"Shrub Swamp",0,"#ADFFE7","35_Shrub Swamp"
"129","Athabasca Plain",39,1457,1445.12528612274,3.1,39,"Lake",0,"#3649F9","39_Lake"
"130","Central Mixedwood",39,8042,7990.95544070273,1.8,39,"Lake",0,"#3649F9","39_Lake"
"131","Kazan Uplands",39,1,0,0,39,"Lake",0,"#3649F9","39_Lake"
"132","Lower Boreal Highlands",39,1,0,0,39,"Lake",0,"#3649F9","39_Lake"
"133","Athabasca Plain",43,1,0,0,43,"Other Non-Fuel",0,"#ACAC96","43_Other Non-Fuel"
"134","Central Mixedwood",43,63614,63412.6358421203,14.4,43,"Other Non-Fuel",0,"#ACAC96","43_Other Non-Fuel"
"135","Kazan Uplands",43,1,0,0,43,"Other Non-Fuel",0,"#ACAC96","43_Other Non-Fuel"
"136","Lower Boreal Highlands",43,1,0,0,43,"Other Non-Fuel",0,"#ACAC96","43_Other Non-Fuel"
