"","NSRNAME","DEP_ecosite","nPOLY","DEP_Area","DEP_Area_perc","DEPordNum","Classification","Upland","Color","DEPord"
"78","Central Mixedwood",19,2617,2615.25173869729,0.3,19,"Medium-Hygric Grassland",0,"#99FF89","19_Medium-Hygric Grassland"
"79","Lower Boreal Highlands",19,2,2,0,19,"Medium-Hygric Grassland",0,"#99FF89","19_Medium-Hygric Grassland"
"80","Upper Boreal Highlands",19,79,79,0.1,19,"Medium-Hygric Grassland",0,"#99FF89","19_Medium-Hygric Grassland"
"81","Athabasca Plain",20,322,296.897208575567,0.1,20,"Medium-Hygric Poplar Mix",0,"#14C800","20_Medium-Hygric Poplar Mix"
"82","Central Mixedwood",20,27368,27244.6170982503,2.8,20,"Medium-Hygric Poplar Mix",0,"#14C800","20_Medium-Hygric Poplar Mix"
"83","Lower Boreal Highlands",20,4663,4540.78739324922,5.6,20,"Medium-Hygric Poplar Mix",0,"#14C800","20_Medium-Hygric Poplar Mix"
"84","Upper Boreal Highlands",20,100,62.7842890963948,0.1,20,"Medium-Hygric Poplar Mix",0,"#14C800","20_Medium-Hygric Poplar Mix"
"85","Athabasca Plain",21,6,5.12339904904366,0,21,"Medium-Hygric Spruce Mix",0,"#3CBC2F","21_Medium-Hygric Spruce Mix"
"86","Central Mixedwood",21,9476,9452.46088445233,1,21,"Medium-Hygric Spruce Mix",0,"#3CBC2F","21_Medium-Hygric Spruce Mix"
"87","Lower Boreal Highlands",21,39,16.7981162611395,0,21,"Medium-Hygric Spruce Mix",0,"#3CBC2F","21_Medium-Hygric Spruce Mix"
"88","Upper Boreal Highlands",21,1,0,0,21,"Medium-Hygric Spruce Mix",0,"#3CBC2F","21_Medium-Hygric Spruce Mix"
"89","Athabasca Plain",22,5,3.54162982106209,0,22,"Medium-Hygric Black Spruce Mix",0,"#39AE2C","22_Medium-Hygric Black Spruce Mix"
"90","Central Mixedwood",22,795,792.45837020129,0.1,22,"Medium-Hygric Black Spruce Mix",0,"#39AE2C","22_Medium-Hygric Black Spruce Mix"
