"","NSRNAME","DEP_ecosite","nPOLY","DEP_Area","DEP_Area_perc","DEPordNum","StralbergName","Color","DEPord"
"92","Lower Boreal Highlands",32,"1","0","0",32,"Rich-Hydric Grass Fen","#9FFFD7","32_Rich-Hydric Grass Fen"
"93","Athabasca Plain",33,"1","0","0",33,"Rich-Hydric Shrub Fen","#2DFFA7","33_Rich-Hydric Shrub Fen"
"94","Central Mixedwood",33,"217","217","0.1",33,"Rich-Hydric Shrub Fen","#2DFFA7","33_Rich-Hydric Shrub Fen"
"95","Kazan Uplands",33,NA,NA,NA,33,"Rich-Hydric Shrub Fen","#2DFFA7","33_Rich-Hydric Shrub Fen"
"96","Lower Boreal Highlands",33,"1","0","0",33,"Rich-Hydric Shrub Fen","#2DFFA7","33_Rich-Hydric Shrub Fen"
"97","Athabasca Plain",34,"531","506.015649533598","1.1",34,"Rich-Hydric Black Spruce","#0C5437","34_Rich-Hydric Black Spruce"
"98","Central Mixedwood",34,"15919","15849.6707353632","4.1",34,"Rich-Hydric Black Spruce","#0C5437","34_Rich-Hydric Black Spruce"
"99","Kazan Uplands",34,NA,NA,NA,34,"Rich-Hydric Black Spruce","#0C5437","34_Rich-Hydric Black Spruce"
"100","Lower Boreal Highlands",34,"1","0","0",34,"Rich-Hydric Black Spruce","#0C5437","34_Rich-Hydric Black Spruce"
"101","Athabasca Plain",35,"362","359.505554448813","0.8",35,"Marsh","#AEEDFF","35_Marsh"
"102","Central Mixedwood",35,"1149","1137.78857484789","0.3",35,"Marsh","#AEEDFF","35_Marsh"
"103","Kazan Uplands",35,NA,NA,NA,35,"Marsh","#AEEDFF","35_Marsh"
"104","Lower Boreal Highlands",35,"1","0","0",35,"Marsh","#AEEDFF","35_Marsh"
"105","Athabasca Plain",39,"1734","1723.41419178806","3.7",39,"Open Water","#071BD6","39_Open Water"
"106","Central Mixedwood",39,"7191","7149.0734968271","1.8",39,"Open Water","#071BD6","39_Open Water"
"107","Kazan Uplands",39,NA,NA,NA,39,"Open Water","#071BD6","39_Open Water"
"108","Lower Boreal Highlands",39,"2","0","0",39,"Open Water","#071BD6","39_Open Water"
"109","Athabasca Plain",52,"1264","1251.1253863459","2.7",52,"Human-modified","#ACAC96","52_Human-modified"
"110","Central Mixedwood",52,"96809","96555.8557523052","24.9",52,"Human-modified","#ACAC96","52_Human-modified"
"111","Kazan Uplands",52,NA,NA,NA,52,"Human-modified","#ACAC96","52_Human-modified"
"112","Lower Boreal Highlands",52,"2","0","0",52,"Human-modified","#ACAC96","52_Human-modified"
"113","Athabasca Plain",42,"2","1.93287169933319","0",62,"Urban","#373737","42_Urban"
"114","Central Mixedwood",42,"501","486.667522450909","0.1",62,"Urban","#373737","42_Urban"
"115","Kazan Uplands",42,NA,NA,NA,62,"Urban","#373737","42_Urban"
"116","Lower Boreal Highlands",42,"1","0","0",62,"Urban","#373737","42_Urban"
