"","NSRNAME","DEP_ecosite","nPOLY","DEP_Area","DEP_Area_perc","DEPordNum","Classification","Upland","Color","DEPord"
"159","Lower Boreal Highlands",22,10136,9908.58697585405,0.2,22,"Medium-Hygric Black Spruce Mix",0,"#39AE2C","22_Medium-Hygric Black Spruce Mix"
"160","Northern Mixedwood",22,22748,22536.3075399735,0.8,22,"Medium-Hygric Black Spruce Mix",0,"#39AE2C","22_Medium-Hygric Black Spruce Mix"
"161","Upper Boreal Highlands",22,1,0,0,22,"Medium-Hygric Black Spruce Mix",0,"#39AE2C","22_Medium-Hygric Black Spruce Mix"
"162","Athabasca Plain",25,2615,2593.03879693121,0.2,25,"Medium-Hydric Shrub (Poor Fen)",0,"#9EB373","25_Medium-Hydric Shrub (Poor Fen)"
"163","Boreal Subarctic",25,29198,29125.4642001464,2.5,25,"Medium-Hydric Shrub (Poor Fen)",0,"#9EB373","25_Medium-Hydric Shrub (Poor Fen)"
"164","Central Mixedwood",25,390875,390174.988479421,2.3,25,"Medium-Hydric Shrub (Poor Fen)",0,"#9EB373","25_Medium-Hydric Shrub (Poor Fen)"
"165","Dry Mixedwood",25,95469,95161.7882373979,1.1,25,"Medium-Hydric Shrub (Poor Fen)",0,"#9EB373","25_Medium-Hydric Shrub (Poor Fen)"
"166","Lower Boreal Highlands",25,185660,184910.674893236,3.3,25,"Medium-Hydric Shrub (Poor Fen)",0,"#9EB373","25_Medium-Hydric Shrub (Poor Fen)"
"167","Northern Mixedwood",25,29427,29296.3304068601,1,25,"Medium-Hydric Shrub (Poor Fen)",0,"#9EB373","25_Medium-Hydric Shrub (Poor Fen)"
"168","Upper Boreal Highlands",25,34531,34251.9298286376,2.9,25,"Medium-Hydric Shrub (Poor Fen)",0,"#9EB373","25_Medium-Hydric Shrub (Poor Fen)"
"169","Athabasca Plain",26,60447,59981.0741284404,4.5,26,"Medium-Hydric Black Spruce Fen (Poor Fen)",0,"#75AC00","26_Medium-Hydric Black Spruce Fen (Poor Fen)"
"170","Boreal Subarctic",26,17653,17579.5209737128,1.5,26,"Medium-Hydric Black Spruce Fen (Poor Fen)",0,"#75AC00","26_Medium-Hydric Black Spruce Fen (Poor Fen)"
"171","Central Mixedwood",26,974388,972858.154528589,5.8,26,"Medium-Hydric Black Spruce Fen (Poor Fen)",0,"#75AC00","26_Medium-Hydric Black Spruce Fen (Poor Fen)"
"172","Dry Mixedwood",26,123080,122523.686129296,1.4,26,"Medium-Hydric Black Spruce Fen (Poor Fen)",0,"#75AC00","26_Medium-Hydric Black Spruce Fen (Poor Fen)"
"173","Lower Boreal Highlands",26,173693,171986.961109669,3.1,26,"Medium-Hydric Black Spruce Fen (Poor Fen)",0,"#75AC00","26_Medium-Hydric Black Spruce Fen (Poor Fen)"
"174","Northern Mixedwood",26,300765,299605.643356658,10.2,26,"Medium-Hydric Black Spruce Fen (Poor Fen)",0,"#75AC00","26_Medium-Hydric Black Spruce Fen (Poor Fen)"
"175","Upper Boreal Highlands",26,17570,17441.4083989486,1.5,26,"Medium-Hydric Black Spruce Fen (Poor Fen)",0,"#75AC00","26_Medium-Hydric Black Spruce Fen (Poor Fen)"
"176","Athabasca Plain",27,1,1,0,27,"Rich-Mesic Grassland",1,"#AFFFA3","27_Rich-Mesic Grassland"
"177","Boreal Subarctic",27,1,0,0,27,"Rich-Mesic Grassland",1,"#AFFFA3","27_Rich-Mesic Grassland"
"178","Central Mixedwood",27,6131,6115.79228985705,0,27,"Rich-Mesic Grassland",1,"#AFFFA3","27_Rich-Mesic Grassland"
"179","Dry Mixedwood",27,25,20.3791821831837,0,27,"Rich-Mesic Grassland",1,"#AFFFA3","27_Rich-Mesic Grassland"
"180","Lower Boreal Highlands",27,4,2.93534198403358,0,27,"Rich-Mesic Grassland",1,"#AFFFA3","27_Rich-Mesic Grassland"
"181","Northern Mixedwood",27,1,0,0,27,"Rich-Mesic Grassland",1,"#AFFFA3","27_Rich-Mesic Grassland"
"182","Upper Boreal Highlands",27,1,0,0,27,"Rich-Mesic Grassland",1,"#AFFFA3","27_Rich-Mesic Grassland"
"183","Athabasca Plain",28,310,308.350515116871,0,28,"Rich-Hygric Shrubland",0,"#99FF89","28_Rich-Hygric Shrubland"
"184","Boreal Subarctic",28,41,37.0451265080851,0,28,"Rich-Hygric Shrubland",0,"#99FF89","28_Rich-Hygric Shrubland"
